english,russian,transcription,example,category,level
money,деньги,[ˈmʌni],The delicate money needs care,Бизнес и экономика,A1
job,работа,[ʤɒb],This unique job stands out,Бизнес и экономика,A1
service,услуга,[ˈsɜːvɪs],The service is absolutely essential,Бизнес и экономика,B1
office,офис,[ˈɒfɪs],My office needs replacing soon,Бизнес и экономика,A1
policy,политика,[ˈpɒlɪsi],Her policy caught everyone's attention,Бизнес и экономика,A2
plan,план,[plæn],This plan belongs to my friend,Бизнес и экономика,A2
control,контроль,[kənˈtrəʊl],Every control tells its own story,Бизнес и экономика,B1
report,отчет,[rɪˈpɔːt],The report arrived right on time,Бизнес и экономика,A2
site,объект,[saɪt],Our site has seen better days,Бизнес и экономика,A1
performance,производительность,[pəˈfɔːməns],Your performance is quite impressive,Бизнес и экономика,C1
effort,усилие,[ˈɛfət],Their effort costs a fortune,Бизнес и экономика,A2
action,действие,[ˈækʃ(ə)n],A good action makes all the difference,Бизнес и экономика,A2
activity,деятельность,[ækˈtɪvɪti],The best activity I've ever seen,Бизнес и экономика,B1
practice,практика,[ˈpræktɪs],That practice reminds me of home,Бизнес и экономика,B1
skill,умение,[skɪl],This skill comes from abroad,Бизнес и экономика,A2
order,порядок,[ˈɔːdə],The old order still works perfectly,Бизнес и экономика,A2
meeting,встреча,[ˈmiːtɪŋ],A new meeting would be nice,Бизнес и экономика,B1
operation,операция,[ˌɒpəˈreɪʃən],The operation broke down yesterday,Бизнес и экономика,B2
interview,интервью,[ˈɪntəvjuː],My favorite interview is missing,Бизнес и экономика,B2
quality,качество,[ˈkwɒlɪti],Her quality won first prize,Бизнес и экономика,B1
success,успех,[səkˈsɛs],The success speaks for itself,Бизнес и экономика,A2
task,задача,[tɑːsk],Every task has its purpose,Бизнес и экономика,A1
break,перерыв,[breɪk],The break exceeded expectations,Бизнес и экономика,A2
mission,миссия,[ˈmɪʃən],Our mission brings joy daily,Бизнес и экономика,B1
labor,труд,[ˈleɪbə],That labor holds special meaning,Бизнес и экономика,A2
weekend,уикэнд,[ˈwiːkˈɛnd],The weekend represents hope,Бизнес и экономика,B1
attempt,попытка,[əˈtɛmpt],This attempt symbolizes freedom,Бизнес и экономика,B1
day off,выходной день,[deɪ ɒf],A rare day off was discovered,Бизнес и экономика,B1
lack,нехватка,[læk],The ancient lack survived centuries,Бизнес и экономика,A1
target,цель,[ˈtɑːgɪt],The modern target is innovative,Бизнес и экономика,A2
tool,инструмент,[tuːl],A perfect tool is hard to find,Бизнес и экономика,A1
leadership,руководство,[ˈliːdəʃɪp],The leadership inspires creativity,Бизнес и экономика,B2
procedure,процедура,[prəˈsiːʤə],Our procedure promotes unity,Бизнес и экономика,B2
document,документ,[ˈdɒkjʊmənt],The document offers opportunities,Бизнес и экономика,B1
contacts,контактные данные,[ˈkɒntækts],This contacts requires attention,Бизнес и экономика,B1
progress,прогресс,[ˈprəʊgrəs],The progress deserves recognition,Бизнес и экономика,B1
application,заявка,[ˌæplɪˈkeɪʃ(ə)n],Every application contains wisdom,Бизнес и экономика,C1
instruction,инструкция,[ɪnˈstrʌkʃən],The instruction provides comfort,Бизнес и экономика,C1
instrument,инструмент,[ˈɪnstrʊmənt],A beautiful instrument emerged,Бизнес и экономика,B2
file,файл,[faɪl],The powerful file transformed lives,Бизнес и экономика,A1
outcome,итог,[ˈaʊtkʌm],The delicate outcome needs care,Бизнес и экономика,B1
duty,долг,[ˈdjuːti],This unique duty stands out,Бизнес и экономика,A1
manner,способ выполнения действия,[ˈmænə],The manner is absolutely essential,Бизнес и экономика,A2
requirement,требование,[rɪˈkwaɪəmənt],My requirement needs replacing soon,Бизнес и экономика,C1
copy,экземпляр книги,[ˈkɒpi],Her copy caught everyone's attention,Бизнес и экономика,A1
tips,чаевые,[tɪps],This tips belongs to my friend,Бизнес и экономика,A1
achievement,достижение,[əˈʧiːvmənt],Every achievement tells its own story,Бизнес и экономика,C1
characteristic,характеристика,[ˌkærɪktəˈrɪstɪk],The characteristic arrived right on time,Бизнес и экономика,C2
signal,сигнал,[ˈsɪgnl],Our signal has seen better days,Бизнес и экономика,A2
agenda,повестка дня,[əˈʤɛndə],Your agenda is quite impressive,Бизнес и экономика,A2
schedule,график,[ˈʃɛdjuːl],Their schedule costs a fortune,Бизнес и экономика,B1
print,печать,[prɪnt],She used to print all the time,Бизнес и экономика,A2
stamp,печать,[stæmp],They'll stamp tomorrow morning,Бизнес и экономика,A2
pass,пропуск,[pɑːs],That pass reminds me of home,Бизнес и экономика,A1
employer,работодатель,[ɪmˈplɔɪə],This employer comes from abroad,Бизнес и экономика,B1
prospect,перспектива,[ˈprɒspɛkt],The old prospect still works perfectly,Бизнес и экономика,B1
entry,запись,[ˈɛntri],A new entry would be nice,Бизнес и экономика,A2
disorder,беспорядок,[dɪsˈɔːdə],The disorder broke down yesterday,Бизнес и экономика,B1
distribution,распределение,[ˌdɪstrɪˈbjuːʃən],My favorite distribution is missing,Бизнес и экономика,C1
command,команда,[kəˈmɑːnd],Her command won first prize,Бизнес и экономика,B1
veteran,ветеран,[ˈvɛtərən],The veteran speaks for itself,Бизнес и экономика,B1
recovery,восстановление,[rɪˈkʌvəri],Every recovery has its purpose,Бизнес и экономика,B1
salary,зарплата,[ˈsæləri],The salary exceeded expectations,Бизнес и экономика,A2
observer,наблюдатель,[əbˈzɜːvə],Our observer brings joy daily,Бизнес и экономика,B1
award,награда,[əˈwɔːd],That award holds special meaning,Бизнес и экономика,A2
routine,заведенный порядок,[ruːˈtiːn],The routine represents hope,Бизнес и экономика,B1
wage,зарплата,[weɪʤ],This wage symbolizes freedom,Бизнес и экономика,A1
pay,оплата,[peɪ],A rare pay was discovered,Бизнес и экономика,A1
recommendation,рекомендация,[ˌrɛkəmɛnˈdeɪʃən],The ancient recommendation survived centuries,Бизнес и экономика,C2
delivery,доставка,[dɪˈlɪvəri],The modern delivery is innovative,Бизнес и экономика,B1
craft,ремесло,[krɑːft],A perfect craft is hard to find,Бизнес и экономика,A2
headquarters,штаб,[ˈhɛdˈkwɔːtəz],The headquarters inspires creativity,Бизнес и экономика,C1
earnings,заработки,[ˈɜːnɪŋz],Our earnings promotes unity,Бизнес и экономика,B1
"load, cargo",груз,"[ləʊd], [ˈkɑːgəʊ]","The load, cargo offers opportunities",Бизнес и экономика,C1
sheet,лист,[ʃiːt],This sheet requires attention,Бизнес и экономика,A2
possibility,возможность,[ˌpɒsəˈbɪlɪti],The possibility deserves recognition,Бизнес и экономика,C1
advantage,преимущество,[ədˈvɑːntɪʤ],Every advantage contains wisdom,Бизнес и экономика,B2
project,проект,[ˈprɒʤɛkt],The project provides comfort,Бизнес и экономика,B1
use,использование,[juːs],A beautiful use emerged,Бизнес и экономика,A1
reputation,репутация,[ˌrɛpju(ː)ˈteɪʃən],The powerful reputation transformed lives,Бизнес и экономика,B2
career,карьера,[kəˈrɪə],The delicate career needs care,Бизнес и экономика,A2
director,директор,[dɪˈrɛktə],This unique director stands out,Бизнес и экономика,B1
position,положение,[pəˈzɪʃən],The position is absolutely essential,Бизнес и экономика,B1
worker,работник,[ˈwɜːkə],My worker needs replacing soon,Бизнес и экономика,A2
staff,персонал,[stɑːf],Her staff caught everyone's attention,Бизнес и экономика,A2
lawyer,адвокат,[ˈlɔːjə],This lawyer belongs to my friend,Бизнес и экономика,A2
executive,управленец,[ɪgˈzɛkjʊtɪv],Every executive tells its own story,Бизнес и экономика,B2
manager,менеджер,[ˈmænɪʤə],The manager arrived right on time,Бизнес и экономика,B1
employee,сотрудник,[ˌɛmplɔɪˈiː],Our employee has seen better days,Бизнес и экономика,B1
agent,агент,[ˈeɪʤənt],Your agent is quite impressive,Бизнес и экономика,A2
farmer,фермер,[ˈfɑːmə],Their farmer costs a fortune,Бизнес и экономика,A2
analyst,аналитик,[ˈænəlɪst],A good analyst makes all the difference,Бизнес и экономика,B1
engineer,инженер,[ˌɛnʤɪˈnɪə],The best engineer I've ever seen,Бизнес и экономика,B1
secretary,секретарь,[ˈsɛkrətri],That secretary reminds me of home,Бизнес и экономика,B2
physician,врач,[fɪˈzɪʃən],This physician comes from abroad,Бизнес и экономика,B2
journalist,журналист,[ˈʤɜːnəlɪst],The old journalist still works perfectly,Бизнес и экономика,B2
designer,дизайнер,[dɪˈzaɪnə],A new designer would be nice,Бизнес и экономика,B1
retirement,выход на пенсию,[rɪˈtaɪəmənt],The retirement broke down yesterday,Бизнес и экономика,B2
consultant,консультант,[kənˈsʌltənt],My favorite consultant is missing,Бизнес и экономика,B2
doctor,врач,[ˈdɒktə],Her doctor won first prize,Бизнес и экономика,A2
teacher,учитель,[ˈtiːʧə],The teacher speaks for itself,Бизнес и экономика,B1
driver,водитель,[ˈdraɪvə],Every driver has its purpose,Бизнес и экономика,A2
cook,повар,[kʊk],The cook exceeded expectations,Бизнес и экономика,A1
artist,художник,[ˈɑːtɪst],Our artist brings joy daily,Бизнес и экономика,A2
administrator,администратор,[ədˈmɪnɪstreɪtə],That administrator holds special meaning,Бизнес и экономика,C2
CEO,генеральный директор,[siː-iː-əʊ],The CEO represents hope,Бизнес и экономика,A1
deputy,заместитель,[ˈdɛpjʊti],This deputy symbolizes freedom,Бизнес и экономика,A2
assistant,ассистент,[əˈsɪstənt],A rare assistant was discovered,Бизнес и экономика,B2
correspondent,корреспондент,[ˌkɒrɪsˈpɒndənt],The ancient correspondent survived centuries,Бизнес и экономика,C2
counselor,советник,[ˈkaʊns(ə)lə],The modern counselor is innovative,Бизнес и экономика,B2
editor,редактор,[ˈɛdɪtə],A perfect editor is hard to find,Бизнес и экономика,A2
producer,производитель,[prəˈdjuːsə],The producer inspires creativity,Бизнес и экономика,B1
master,мастер,[ˈmɑːstə],Our master promotes unity,Бизнес и экономика,A2
boss,босс,[bɒs],The boss offers opportunities,Бизнес и экономика,A1
personnel,персонал,[ˌpɜːsəˈnɛl],This personnel requires attention,Бизнес и экономика,B2
dealer,дилер,[ˈdiːlə],The dealer deserves recognition,Бизнес и экономика,A2
head,руководитель,[hɛd],Every head contains wisdom,Бизнес и экономика,A1
reporter,репортер,[rɪˈpɔːtə],The reporter provides comfort,Бизнес и экономика,B1
chairman,председатель,[ˈʧeəmən],A beautiful chairman emerged,Бизнес и экономика,B1
chief,шеф,[ʧiːf],The powerful chief transformed lives,Бизнес и экономика,A2
adviser,советник,[ədˈvaɪzə],The delicate adviser needs care,Бизнес и экономика,B1
profession,профессия,[prəˈfɛʃən],This unique profession stands out,Бизнес и экономика,B2
professional,профессионал,[prəˈfɛʃənl],The professional is absolutely essential,Бизнес и экономика,C1
say,сказать,[seɪ],She says more than anyone I know,Общение,A1
tell,говорить,[tɛl],They telled all night long,Общение,A1
call,звать,[kɔːl],We should call before it's too late,Общение,A1
ask,спрашивать,[ɑːsk],He asks like a professional,Общение,A1
talk,разговаривать,[tɔːk],You need to talk carefully,Общение,A1
meet,знакомиться,[miːt],Our meet has seen better days,Общение,A1
understand,понимать,[ˌʌndəˈstænd],Don't understand unless absolutely necessary,Общение,A1
speak,говорить,[spiːk],I've never speaked anything like this,Общение,A1
allow,позволять,[əˈlaʊ],She used to allow all the time,Общение,A2
offer,предлагать,[ˈɒfə],They'll offer tomorrow morning,Общение,A2
consider,рассматривать,[kənˈsɪdə],Can you consider for me?,Общение,B1
suggest,предлагать,[səˈʤɛst],I wish I could suggest better,Общение,B1
require,требовать,[rɪˈkwaɪə],He requires without thinking,Общение,B1
report,докладывать,[rɪˈpɔːt],We must report together,Общение,A2
explain,объяснять,[ɪksˈpleɪn],Stop explaining immediately!,Общение,A2
thank,благодарить,[θæŋk],I love to thank on weekends,Общение,A1
agree,соглашаться,[əˈgriː],Her agree won first prize,Общение,A2
describe,описывать,[dɪsˈkraɪb],They began to describe slowly,Общение,A2
represent,представлять,[ˌrɛprɪˈzɛnt],Keep representing until you succeed,Общение,B1
lie,лгать,[laɪ],I forgot to lie yesterday,Общение,B1
tell the truth,говорить правду,[tɛl ðə truːθ],Our tell the truth brings joy daily,Общение,C2
mean,иметь в виду,[miːn],That mean holds special meaning,Общение,A2
argue,спорить,[ˈɑːgjuː],He tends to argue too much,Общение,B2
wonder,интересоваться,[ˈwʌndə],This wonder symbolizes freedom,Общение,A2
name,называть,[neɪm],I can't name right now,Общение,A1
answer,отвечать,[ˈɑːnsə],She wants to answer someday,Общение,A1
state,делать заявление,[steɪt],The modern state is innovative,Общение,A2
discuss,обсуждать,[dɪsˈkʌs],I remember discussing as a child,Общение,B1
laugh,смеяться,[lɑːf],The laugh inspires creativity,Общение,A2
guess,догадываться,[gɛs],Our guess promotes unity,Общение,A2
prove,доказывать,[pruːv],She started proveing early,Общение,A2
sound,звучать,[saʊnd],They continued sounding despite difficulties,Общение,A2
respond,отвечать,[rɪsˈpɒnd],I'm responding as we speak,Общение,B1
reveal,выявлять,[rɪˈviːl],He was revealing all day,Общение,B2
treat,лечить,[triːt],We've been treating for hours,Общение,A2
affect,влиять,[əˈfɛkt],She has affected many times,Общение,B2
mention,упоминать,[ˈmɛnʃən],They had mentioned before,Общение,B1
care,заботиться,[keə],The delicate care needs care,Общение,A1
avoid,избегать,[əˈvɔɪd],He would avoid if he could,Общение,A2
support,поддерживать,[səˈpɔːt],I support every chance I get,Общение,B1
sing,петь,[sɪŋ],She sings more than anyone I know,Общение,A1
address,обращаться к кому-то,[əˈdrɛs],Her address caught everyone's attention,Общение,B1
smile,улыбаться,[smaɪl],This smile belongs to my friend,Общение,A2
admit,признать,[ədˈmɪt],He admits like a professional,Общение,B2
assume,предполагать,[əˈsjuːm],You need to assume carefully,Общение,B1
refer,ссылаться на что-то,[rɪˈfɜː],Our refer has seen better days,Общение,A2
announce,объявлять,[əˈnaʊns],Don't announce unless absolutely necessary,Общение,B1
encourage,воодушевлять,[ɪnˈkʌrɪʤ],I've never encourageed anything like this,Общение,B2
introduce,представлять,[ˌɪntrəˈdjuːs],She used to introduce all the time,Общение,B1
refuse,отказываться,[ˌriːˈfjuːz],The best refuse I've ever seen,Общение,A2
express,выражать,[ɪksˈprɛs],Can you express for me?,Общение,B1
settle,улаживать,[ˈsɛtl],I wish I could settle better,Общение,A2
cry,плакать,[kraɪ],He crys without thinking,Общение,A1
insist,настаивать,[ɪnˈsɪst],We must insist together,Общение,A2
ignore,игнорировать,[ɪgˈnɔː],Stop ignoreing immediately!,Общение,B2
deny,отрицать,[dɪˈnaɪ],I love to deny on weekends,Общение,B2
promise,обещать,[ˈprɒmɪs],She refuses to promise anymore,Общение,B1
demand,требовать,[dɪˈmɑːnd],They began to demand slowly,Общение,A2
welcome,приветствовать,[ˈwɛlkəm],Keep welcomeing until you succeed,Общение,B1
invite,приглашать,[ɪnˈvaɪt],I forgot to invite yesterday,Общение,A2
repeat,повторять,[rɪˈpiːt],She promised to repeat soon,Общение,A2
recommend,рекомендовать,[ˌrɛkəˈmɛnd],We learned to recommend properly,Общение,B2
propose,предлагать,[prəˈpəʊz],He tends to propose too much,Общение,B2
declare,объявлять,[dɪˈkleə],You should declare more often,Общение,B1
matter,иметь значение,[ˈmætə],A rare matter was discovered,Общение,A2
judge,судить,[ˈʤʌʤ],She wants to judge someday,Общение,A2
ensure,обеспечивать,[ɪnˈʃʊə],They decided to ensure together,Общение,A2
challenge,бросать вызов,[ˈʧælɪnʤ],A perfect challenge is hard to find,Общение,B2
warn,предупреждать,[wɔːn],He enjoys warning alone,Общение,A1
influence,влиять,[ˈɪnflʊəns],We finished influenceing at noon,Общение,B2
blame,винить,[bleɪm],She started blameing early,Общение,A2
complain,жаловаться,[kəmˈpleɪn],This complain requires attention,Общение,B1
back,поддерживать,[bæk],I'm backing as we speak,Общение,A1
cite,цитировать,[saɪt],He was citeing all day,Общение,A1
emphasize,подчеркивать,[ˈɛmfəsaɪz],We've been emphasizeing for hours,Общение,B2
decline,отклонять,[dɪˈklaɪn],She has declineed many times,Общение,B1
accuse,обвинять,[əˈkjuːz],They had accuseed before,Общение,A2
reject,отвергать,[rɪˈʤɛkt],I will reject tomorrow,Общение,B2
convince,убеждать,[kənˈvɪns],He would convince if he could,Общение,B2
approve,подтверждать,[əˈpruːv],I approve every chance I get,Общение,B1
list,перечислять,[lɪst],She lists more than anyone I know,Общение,A1
permit,разрешать,[pəˈmɪt],They permited all night long,Общение,A2
scream,кричать,[skriːm],We should scream before it's too late,Общение,A2
shout,выкрикивать,[ʃaʊt],He shouts like a professional,Общение,A2
inform,информировать,[ɪnˈfɔːm],You need to inform carefully,Общение,A2
bother,беспокоить,[ˈbɒðə],Please bother when you're ready,Общение,A2
reply,отвечать,[rɪˈplaɪ],Don't reply unless absolutely necessary,Общение,A2
resolve,решать,[rɪˈzɒlv],I've never resolveed anything like this,Общение,B1
contact,контактировать,[ˈkɒntækt],She used to contact all the time,Общение,B1
interview,проводить интервью,[ˈɪntəvjuː],The best interview I've ever seen,Общение,B2
quote,цитировать,[kwəʊt],Can you quote for me?,Общение,A2
urge,торопить,[ɜːʤ],I wish I could urge better,Общение,A1
whisper,шептать,[ˈwɪspə],He whispers without thinking,Общение,B1
favor,оказывать внимание,[ˈfeɪvə],A new favor would be nice,Общение,A2
comment,коментировать,[ˈkɒmɛnt],Stop commenting immediately!,Общение,B1
negotiate,вести переговоры,[nɪˈgəʊʃɪeɪt],My favorite negotiate is missing,Общение,B2
advise,советовать,[ədˈvaɪz],She refuses to advise anymore,Общение,A2
criticize,критиковать,[ˈkrɪtɪsaɪz],They began to criticize slowly,Общение,B2
assure,уверять,[əˈʃʊə],Keep assureing until you succeed,Общение,A2
yell,кричать,[jɛl],I forgot to yell yesterday,Общение,A1
communicate,общаться,[kəˈmjuːnɪkeɪt],Our communicate brings joy daily,Общение,C1
disagree,не соглашаться,[ˌdɪsəˈgriː],That disagree holds special meaning,Общение,B1
proceed,переходить к чему-то,[prəˈsiːd],The proceed represents hope,Общение,B1
translate,переводить,[trænsˈleɪt],You should translate more often,Общение,B2
interpret,толковать,[ɪnˈtɜːprɪt],I can't interpret right now,Общение,B2
pause,делать паузу,[pɔːz],The ancient pause survived centuries,Общение,A2
imply,предполагать,[ɪmˈplaɪ],They decided to imply together,Общение,B2
respect,уважать,[rɪsˈpɛkt],I remember respecting as a child,Общение,B1
characterize,характеризовать,[ˈkærɪktəraɪz],He enjoys characterizeing alone,Общение,C1
appeal,обращаться,[əˈpiːl],Our appeal promotes unity,Общение,A2
stress,делать ударение,[strɛs],The stress offers opportunities,Общение,A2
doubt,сомневаться,[daʊt],This doubt requires attention,Общение,B1
guarantee,гарантировать,[ˌgærənˈtiː],I'm guaranteeing as we speak,Общение,B2
honor,чтить,[ˈɒnə],He was honoring all day,Общение,A2
encounter,встречать,[ɪnˈkaʊntə],We've been encountering for hours,Общение,B2
dominate,доминировать,[ˈdɒmɪneɪt],She has dominateed many times,Общение,B1
accept,принимать,[əkˈsɛpt],They had accepted before,Общение,A2
let,позволять,[lɛt],I will let tomorrow,Общение,A1
date,встречаться,[deɪt],This unique date stands out,Общение,A1
question,вопрос,[ˈkwɛsʧən],The question is absolutely essential,Общение,A2
note,примечание,[nəʊt],My note needs replacing soon,Общение,A1
statement,заявление,[ˈsteɪtmənt],Her statement caught everyone's attention,Общение,B2
conference,конференция,[ˈkɒnfərəns],This conference belongs to my friend,Общение,B2
detail,деталь,[ˈdiːteɪl],Every detail tells its own story,Общение,A2
comment,комментарий,[ˈkɒmɛnt],The comment arrived right on time,Общение,B1
advice,советы,[ədˈvaɪs],Our advice has seen better days,Общение,A2
"theme, topic",тема,"[θiːm], [ˈtɒpɪk]","Your theme, topic is quite impressive",Общение,C1
appeal,обращение,[əˈpiːl],Their appeal costs a fortune,Общение,A2
secret,секрет,[ˈsiːkrɪt],A good secret makes all the difference,Общение,A2
tip,совет,[tɪp],The best tip I've ever seen,Общение,A1
tone,тон,[təʊn],That tone reminds me of home,Общение,A1
promise,обещание,[ˈprɒmɪs],This promise comes from abroad,Общение,B1
sentence,предложение,[ˈsɛntəns],The old sentence still works perfectly,Общение,A2
explanation,объяснение,[ˌɛkspləˈneɪʃən],A new explanation would be nice,Общение,C1
alternative,альтернатива,[ɔːlˈtɜːnətɪv],The alternative broke down yesterday,Общение,C1
interaction,взаимодействие,[ˌɪntərˈækʃən],My favorite interaction is missing,Общение,C1
warning,предупреждение,[ˈwɔːnɪŋ],Her warning won first prize,Общение,B1
description,описание,[dɪsˈkrɪpʃən],The description speaks for itself,Общение,C1
exposure,раскрытие,[ɪksˈpəʊʒə],Every exposure has its purpose,Общение,B1
joke,шутка,[ʤəʊk],The joke exceeded expectations,Общение,A1
negotiation,переговоры,[nɪˌgəʊʃɪˈeɪʃən],Our negotiation brings joy daily,Общение,C1
involvement,участие,[ɪnˈvɒlvmənt],That involvement holds special meaning,Общение,C1
emphasis,акцент на что-то,[ˈɛmfəsɪs],The emphasis represents hope,Общение,B1
suggestion,предложение,[səˈʤɛsʧən],This suggestion symbolizes freedom,Общение,B2
approval,подтверждение,[əˈpruːvəl],A rare approval was discovered,Общение,B1
phrase,фраза,[freɪz],The ancient phrase survived centuries,Общение,A2
dispute,спор,[dɪsˈpjuːt],The modern dispute is innovative,Общение,B2
dialogue,диалог,[ˈdaɪəlɒg],A perfect dialogue is hard to find,Общение,B1
lie,ложь,[laɪ],The lie inspires creativity,Общение,B1
introduction,введение,[ˌɪntrəˈdʌkʃən],Our introduction promotes unity,Общение,C1
representation,представление,[ˌrɛprɪzɛnˈteɪʃən],The representation offers opportunities,Общение,C2
instance,пример,[ˈɪnstəns],This instance requires attention,Общение,B1
letter,письмо,[ˈlɛtə],The letter deserves recognition,Общение,A2
response,ответ,[rɪsˈpɒns],Every response contains wisdom,Общение,B1
answer,ответ,[ˈɑːnsə],The answer provides comfort,Общение,A1
talk,обсуждение,[tɔːk],A beautiful talk emerged,Общение,A1
discussion,обсуждение,[dɪsˈkʌʃən],The powerful discussion transformed lives,Общение,B2
debate,дебаты,[dɪˈbeɪt],The delicate debate needs care,Общение,B2
conversation,разговор,[ˌkɒnvəˈseɪʃən],This unique conversation stands out,Общение,C1
argument,аргумент,[ˈɑːgjʊmənt],The argument is absolutely essential,Общение,B1
exchange,обмен,[ɪksˈʧeɪnʤ],My exchange needs replacing soon,Общение,B1
expression,выражение,[ɪksˈprɛʃən],Her expression caught everyone's attention,Общение,B2
abuse,плохое отношение,[əˈbjuːs],This abuse belongs to my friend,Общение,B2
relationships,отношения,[rɪˈleɪʃənʃɪps],Every relationships tells its own story,Общение,C2
love,любовь,[lʌv],The love arrived right on time,Общение,A1
friendship,дружба,[ˈfrɛndʃɪp],Our friendship has seen better days,Общение,B2
date,свидание,[deɪt],Your date is quite impressive,Общение,A1
proposal,предложение,[prəˈpəʊzəl],Their proposal costs a fortune,Общение,B1
affair,любовная связь,[əˈfeə],A good affair makes all the difference,Общение,A2
lover,любовник,[ˈlʌvə],The best lover I've ever seen,Общение,A2
understanding,понимание,[ˌʌndəˈstændɪŋ],That understanding reminds me of home,Общение,C2
jealousy,ревность,[ˈʤɛləsi],This jealousy comes from abroad,Общение,B1
betrayal,предательство,[bɪˈtreɪəl],The old betrayal still works perfectly,Общение,B1
argument,спор,[ˈɑːgjʊmənt],A new argument would be nice,Общение,B1
quarrel,ссора,[ˈkwɒrəl],The quarrel broke down yesterday,Общение,B1
divorce,развод,[dɪˈvɔːs],My favorite divorce is missing,Общение,B1
influence,влияние,[ˈɪnflʊəns],Her influence won first prize,Общение,B2
smile,улыбка,[smaɪl],The smile speaks for itself,Общение,A2
visit,визит,[ˈvɪzɪt],Every visit has its purpose,Общение,A2
respect,уважение,[rɪsˈpɛkt],The respect exceeded expectations,Общение,B1
surprise,сюрприз,[səˈpraɪz],Our surprise brings joy daily,Общение,B1
fun,веселье,[fʌn],That fun holds special meaning,Общение,A1
guest,гость,[gɛst],The guest represents hope,Общение,A2
neighbor,сосед,[ˈneɪbə],This neighbor symbolizes freedom,Общение,B1
stranger,незнакомец,[ˈstreɪnʤə],A rare stranger was discovered,Общение,B1
and,и,[ænd],The ancient and survived centuries,Общение,A1
but,но,[bʌt],The modern but is innovative,Общение,A1
however,однако,[haʊˈɛvə],A perfect however is hard to find,Общение,B1
as well as,также как,[æz wɛl æz],The as well as inspires creativity,Общение,B2
both… and,и …,[bəʊθ]… [ænd],Our both… and promotes unity,Общение,B2
either… or,или … или…,[ˈaɪðə]… [ɔː],The either… or offers opportunities,Общение,B2
neither… nor,ни …,[ˈnaɪðə]… [nɔː],This neither… nor requires attention,Общение,C1
when,когда,[wɛn],The when deserves recognition,Общение,A1
before,до,[bɪˈfɔː],Every before contains wisdom,Общение,A1
after,после,[ˈɑːftə],The after provides comfort,Общение,A1
while,во время,[waɪl],A beautiful while emerged,Общение,A2
since,с тех пор как,[sɪns],The powerful since transformed lives,Общение,A2
until,до того как,[ənˈtɪl],The delicate until needs care,Общение,A2
where,где,[weə],This unique where stands out,Общение,A2
how,как,[haʊ],The how is absolutely essential,Общение,A1
if,если,[ɪf],My if needs replacing soon,Общение,A1
because,потому что,[bɪˈkɒz],Her because caught everyone's attention,Общение,B1
so,так что,[səʊ],This so belongs to my friend,Общение,A1
so,чтобы,[səʊ ðæt],Every so tells its own story,Общение,A1
"though, although",хотя,[ðəʊ] [ɔːlˈðəʊ],"The though, although arrived right on time",Общение,C2
once,как только,[wʌns],Our once has seen better days,Общение,A1
as soon as,как только,[æz suːn æz],Your as soon as is quite impressive,Общение,B2
as long as,пока,[æz lɒŋ æz],Their as long as costs a fortune,Общение,B2
win,побеждать,[wɪn],She used to win all the time,Безопасность и конфликты,A2
kill,убивать,[kɪl],They'll kill tomorrow morning,Безопасность и конфликты,A1
hit,ударить,[hɪt],Can you hit for me?,Безопасность и конфликты,A1
fight,драться,[faɪt],This fight comes from abroad,Безопасность и конфликты,A2
shoot,стрелять,[ʃuːt],He shoots without thinking,Безопасность и конфликты,A2
protect,защищать,[prəˈtɛkt],We must protect together,Безопасность и конфликты,B1
force,принуждать,[fɔːs],Stop forceing immediately!,Безопасность и конфликты,A2
beat,бить,[biːt],I love to beat on weekends,Безопасность и конфликты,A1
hurt,причинять боль,[hɜːt],Her hurt won first prize,Безопасность и конфликты,A1
strike,ударять,[straɪk],They began to strike slowly,Безопасность и конфликты,A2
threaten,угрожать,[ˈθrɛtn],Keep threatening until you succeed,Безопасность и конфликты,B2
destroy,уничтожать,[dɪsˈtrɔɪ],I forgot to destroy yesterday,Безопасность и конфликты,B1
fire,стрелять,[ˈfaɪə],She promised to fire soon,Безопасность и конфликты,A1
attack,атаковать,[əˈtæk],We learned to attack properly,Безопасность и конфликты,A2
struggle,бороться,[ˈstrʌgl],The struggle represents hope,Безопасность и конфликты,B1
capture,захватывать,[ˈkæpʧə],You should capture more often,Безопасность и конфликты,B1
defend,защищать,[dɪˈfɛnd],I can't defend right now,Безопасность и конфликты,A2
kick,пинать,[kɪk],She wants to kick someday,Безопасность и конфликты,A1
eliminate,устранять,[ɪˈlɪmɪneɪt],They decided to eliminate together,Безопасность и конфликты,C1
score,набирать очки,[skɔː],A perfect score is hard to find,Безопасность и конфликты,A2
aim,целиться,[eɪm],The aim inspires creativity,Безопасность и конфликты,A1
compete,соревноваться,[kəmˈpiːt],Our compete promotes unity,Безопасность и конфликты,B1
confront,противостоять,[kənˈfrʌnt],She started confronting early,Безопасность и конфликты,B1
resist,сопротивляться,[rɪˈzɪst],This resist requires attention,Безопасность и конфликты,A2
target,делать мишенью,[ˈtɑːgɪt],The target deserves recognition,Безопасность и конфликты,A2
overcome,преодолевать,[ˌəʊvəˈkʌm],He was overcomeing all day,Безопасность и конфликты,B1
give up,сдаваться,[gɪv ʌp],The give up provides comfort,Безопасность и конфликты,B1
surrender,сдаваться,[səˈrɛndə],A beautiful surrender emerged,Безопасность и конфликты,B2
